Year,NA,NA,NA,NA,NA,NA,NA,NA
2021,Country,Product ID,Category,Sub-Category,Product Name,Segment,Sales,Profit
2021,Afghanistan,OFF-AR-3547,Office Supplies,Art,"Boston Pens, Easy-Erase",Consumer,78250,-50
2021,Albania,FUR-BO-5954,Furniture,Bookcases,"Sauder Corner Shelving, Pine",Corporate,401360,35600
2021,Algeria,TEC-MA-5008,Technology,Machines,"Konica Inkjet, Wireless",Corporate,846290,47000
,,,,,,,,
2021,Angola,OFF-LA-6053,Office Supplies,Labels,"Smead Round Labels, 5000 Label Set",Corporate,19320,-7680
2021,Argentina,OFF-BI-4348,Office Supplies,Binders,GBC Instant Report Kit,Consumer,6470,-9710
2021,Australia,OFF-AR-3540,Office Supplies,Art,"Boston Markers, Water Color",Consumer,29550,z
2021,Austria,OFF-BI-3185,Office Supplies,Binders,"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",Corporate,15660,-12530
2021,Azerbaijan,OFF-AP-3861,Office Supplies,Appliances,"Cuisinart Coffee Grinder, Red",Consumer,61780,-24740
2021,Bangladesh,OFF-AR-5325,Office Supplies,Art,Newell 345,Consumer,47620,Z
2021,Barbados,OFF-SU-6179,Office Supplies,Supplies,"Stiletto Shears, Steel",Home Office,31660,7280
2021,Belarus,FUR-FU-3955,Furniture,Furnishings,"Deflect-O Stacking Tray, Black",Consumer,25350,11400
,,,,,,,,
2021,Belgium,TEC-AC-4936,Technology,Accessories,Kensington K72356US Mouse-in-a-Box USB Desktop Mouse,Corporate,16590,z
2021,Benin,FUR-TA-3423,Furniture,Tables,"Bevis Oval Conference Table, Walnut",Consumer,913430,-169640
2021,Bolivia,FUR-CH-5412,Furniture,Chairs,"Novimex Swivel Stool, Black",Corporate,486090,106920
2021,Bosnia and Herzegovina,OFF-AR-5296,Office Supplies,Art,Newell 319,Consumer,31740,3970
2021,Brazil,TEC-PH-3017,Technology,Phones,Adtran 1202752G1,Consumer,302380,22680
2021,Bulgaria,OFF-EN-5033,Office Supplies,Envelopes,"Kraft Mailers, Recycled",Consumer,36450,z
2021,Burkina Faso,TEC-PH-5843,Technology,Phones,"Samsung Speaker Phone, Cordless",Consumer,535880,12530
2021,Cambodia,OFF-AP-4729,Office Supplies,Appliances,Hoover Commercial SteamVac,Consumer,5430,z
,,,,,,,,
2021,Cameroon,OFF-PA-5848,Office Supplies,Paper,"SanDisk Cards & Envelopes, Multicolor",Consumer,249150,17400
2021,Canada,FUR-FU-6232,Furniture,Furnishings,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",Consumer,141420,-187380
2021,Central African Republic,OFF-EN-4447,Office Supplies,Envelopes,"GlobeWeis Manila Envelope, Recycled",Consumer,183330,49350
2021,Chile,OFF-FA-5480,Office Supplies,Fasteners,"OIC Staples, 12 Pack",Consumer,3230,-7030
2021,China,OFF-AR-6106,Office Supplies,Art,"Stanley Canvas, Easy-Erase",Corporate,99480,23820
2021,Colombia,TEC-AC-3395,Technology,Accessories,"Belkin Mouse, USB",Consumer,54560,19640
2021,Costa Rica,OFF-EN-3670,Office Supplies,Envelopes,"Cameo Manila Envelope, Security-Tint",Consumer,29400,9390
2021,Cote d'Ivoire,OFF-BI-2897,Office Supplies,Binders,"Acco Binder, Economy",Consumer,15150,2100
2021,Croatia,FUR-CH-5379,Furniture,Chairs,"Novimex Executive Leather Armchair, Black",Corporate,1002910,-329810
2021,Cuba,OFF-SU-4131,Office Supplies,Supplies,"Elite Shears, Easy Grip",Corporate,116710,-54530
2021,Cyprus,TEC-PH-3787,Technology,Phones,"Cisco Audio Dock, with Caller ID",Consumer,773800,63700
,,,,,,,,
2021,Czech Republic,FUR-FU-4753,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock",Consumer,474430,199260
2021,Democratic Republic of the Congo,OFF-SU-4996,Office Supplies,Supplies,"Kleencut Trimmer, Steel",Consumer,40830,6510
2021,Denmark,OFF-BI-4807,Office Supplies,Binders,"Ibico Binder Covers, Clear",Consumer,52440,3600
2021,Dominican Republic,FUR-CH-5424,Furniture,Chairs,Office Star - Contemporary Task Swivel Chair,Consumer,310740,-26640
,,,,,,,,
2021,Ecuador,FUR-FU-3957,Furniture,Furnishings,"Deflect-O Stacking Tray, Erganomic",Corporate,66960,5310
2021,Egypt,TEC-AC-3381,Technology,Accessories,"Belkin Flash Drive, USB",Corporate,56200,15160
2021,El Salvador,OFF-EN-3654,Office Supplies,Envelopes,"Cameo Business Envelopes, Recycled",Consumer,19350,2100
2021,Estonia,OFF-SU-2965,Office Supplies,Supplies,"Acme Box Cutter, Easy Grip",Home Office,275940,135030
,,,,,,,,
2021,Ethiopia,FUR-CH-5802,Furniture,Chairs,"SAFCO Steel Folding Chair, Red",Corporate,308560,34240
2021,Finland,OFF-SU-4981,Office Supplies,Supplies,"Kleencut Ruler, Easy Grip",Consumer,45540,900
2021,France,TEC-MA-5511,Technology,Machines,"Okidata Printer, Red",Consumer,677410,-111620
2021,French Guiana,OFF-PA-4480,Office Supplies,Paper,"Green Bar Note Cards, Premium",Home Office,18720,-36840
2021,Gabon,FUR-FU-6237,Furniture,Furnishings,"Tenex Clock, Duo Pack",Consumer,402480,152880
2021,Georgia,FUR-CH-5409,Furniture,Chairs,"Novimex Steel Folding Chair, Set of Two",Consumer,168960,6720
2021,Germany,OFF-ST-4061,Office Supplies,Storage,"Eldon Folders, Industrial",Corporate,83810,-51790
2021,Ghana,TEC-PH-5248,Technology,Phones,"Motorola Audio Dock, VoIP",Consumer,173460,50280
2021,Guatemala,TEC-PH-5837,Technology,Phones,"Samsung Signal Booster, VoIP",Consumer,546720,185880
2021,Guinea,OFF-PA-4470,Office Supplies,Paper,"Green Bar Memo Slips, 8.5 x 11",Consumer,168720,84240
2021,Guinea-Bissau,OFF-PA-4480,Office Supplies,Paper,"Green Bar Note Cards, Premium",Consumer,148950,16350
2021,Haiti,OFF-BI-2895,Office Supplies,Binders,"Acco Binder, Clear",Consumer,39450,5700
2021,Honduras,FUR-CH-5409,Furniture,Chairs,"Novimex Steel Folding Chair, Set of Two",Consumer,128960,4720
2021,Hong Kong,OFF-EN-4905,Office Supplies,Envelopes,"Jiffy Business Envelopes, Set of 50",Consumer,58500,11070
2021,Hungary,OFF-AP-4496,Office Supplies,Appliances,"Hamilton Beach Coffee Grinder, White",Corporate,73440,2400
2021,India,OFF-FA-2944,Office Supplies,Fasteners,"Accos Paper Clips, Assorted Sizes",Corporate,13790,z
2021,Indonesia,FUR-FU-5729,Furniture,Furnishings,"Rubbermaid Frame, Durable",Consumer,106920,26730
2021,Iran,OFF-ST-6290,Office Supplies,Storage,Tennsco Industrial Shelving,Consumer,156510,z
2021,Iraq,OFF-AR-3525,Office Supplies,Art,"Boston Canvas, Blue",Corporate,117470,17660
2021,Ireland,OFF-ST-4055,Office Supplies,Storage,"Eldon File Cart, Blue",Corporate,634800,171300
2021,Israel,OFF-LA-5401,Office Supplies,Labels,"Novimex Round Labels, Laser Printer Compatible",Corporate,7520,z
2021,Italy,OFF-AR-6107,Office Supplies,Art,"Stanley Canvas, Fluorescent",Corporate,152190,48690
2021,Jamaica,OFF-FA-6195,Office Supplies,Fasteners,"Stockwell Push Pins, Bulk Pack",Consumer,14370,3000
2021,Japan,OFF-BI-4356,Office Supplies,Binders,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Consumer,38380,13430
2021,Jordan,OFF-AP-3861,Office Supplies,Appliances,"Cuisinart Coffee Grinder, Red",Corporate,69500,6140
2021,Kazakhstan,OFF-ST-3981,Office Supplies,Storage,"Dual Level, Single-Width Filing Carts",Consumer,372140,27910
2021,Kenya,OFF-LA-4538,Office Supplies,Labels,"Harbour Creations Legal Exhibit Labels, Adjustable",Home Office,8850,4050
2021,Kuwait,TEC-PH-5268,Technology,Phones,"Motorola Smart Phone, Full Size",Consumer,515180,-386440
2021,Kyrgyzstan,OFF-AR-5921,Office Supplies,Art,"Sanford Pencil Sharpener, Easy-Erase",Corporate,216720,108240
2021,Laos,OFF-BI-3724,Office Supplies,Binders,"Cardinal Binding Machine, Clear",Consumer,246150,98400
2021,Lebanon,OFF-ST-4057,Office Supplies,Storage,"Eldon File Cart, Single Width",Consumer,511680,30600
2021,Liberia,TEC-PH-5247,Technology,Phones,"Motorola Audio Dock, Full Size",Consumer,523980,125730
2021,Libya,OFF-BI-6377,Office Supplies,Binders,"Wilson Jones Binder Covers, Recycled",Corporate,53900,3220
2021,Lithuania,OFF-AP-3866,Office Supplies,Appliances,"Cuisinart Microwave, Silver",Corporate,1256450,488600
2021,Luxembourg,TEC-PH-3784,Technology,Phones,"Cisco Audio Dock, Cordless",Consumer,314360,-7420
2021,Macedonia,TEC-MA-4197,Technology,Machines,"Epson Inkjet, Durable",Home Office,919890,303480
2021,Madagascar,OFF-BI-4823,Office Supplies,Binders,"Ibico Hole Reinforcements, Clear",Consumer,2580,-1380
2021,Malawi,TEC-AC-5129,Technology,Accessories,"Logitech Mouse, USB",Consumer,29490,6480
2021,Malaysia,OFF-AR-3852,Office Supplies,Art,"Crayola Anti Dust Chalk, 12/Pack",Corporate,3640,1640
2021,Mali,OFF-AR-3548,Office Supplies,Art,"Boston Pens, Fluorescent",Consumer,30960,11760
2021,Martinique,FUR-CH-4630,Furniture,Chairs,"Hon Chairmat, Adjustable",Home Office,116040,27840
2021,Mauritania,OFF-BI-6405,Office Supplies,Binders,"Wilson Jones Index Tab, Recycled",Consumer,20430,9360
2021,Mexico,OFF-PA-6303,Office Supplies,Paper,Things To Do Today Pad,Consumer,23480,8220
2021,Moldova,TEC-CO-3587,Technology,Copiers,"Brother Copy Machine, Color",Corporate,260490,31230
2021,Mongolia,TEC-AC-4158,Technology,Accessories,"Enermax Keyboard, USB",Corporate,251010,62730
2021,Montenegro,TEC-MA-5576,Technology,Machines,"Panasonic Receipt Printer, Red",Home Office,354150,173520
2021,Morocco,OFF-AP-4292,Office Supplies,Appliances,Fellowes Superior 10 Outlet Split Surge Protector,Consumer,15220,-38820
2021,Mozambique,TEC-CO-3681,Technology,Copiers,"Canon Copy Machine, Laser",Consumer,2097120,188640
2021,Myanmar (Burma),OFF-ST-4080,Office Supplies,Storage,"Eldon Lockers, Single Width",Consumer,395880,193980
2021,Namibia,OFF-BI-3713,Office Supplies,Binders,"Cardinal 3-Hole Punch, Durable",Corporate,30300,13920
2021,Nepal,OFF-SU-4327,Office Supplies,Supplies,"Fiskars Trimmer, Serrated",Corporate,234000,28080
2021,Netherlands,OFF-BI-5640,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Consumer,13750,-22680
2021,New Zealand,OFF-EN-3671,Office Supplies,Envelopes,"Cameo Manila Envelope, Set of 50",Consumer,54000,4860
2021,Nicaragua,FUR-FU-5091,Furniture,Furnishings,"Linden 10"" Round Wall Clock, Black",Consumer,48900,8560
2021,Niger,OFF-BI-3719,Office Supplies,Binders,"Cardinal Binder Covers, Recycled",Consumer,24720,11100
2021,Nigeria,OFF-EN-3671,Office Supplies,Envelopes,"Cameo Manila Envelope, Set of 50",Consumer,62000,6860
2021,Norway,TEC-CO-3594,Technology,Copiers,"Brother Fax and Copier, Laser",Corporate,382210,41350
2021,Pakistan,OFF-BI-3308,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,Corporate,30850,18160
2021,Panama,OFF-BI-6391,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,Home Office,3600,1730
2021,Papua New Guinea,OFF-BI-4359,Office Supplies,Binders,GBC ProClick 150 Presentation Binding System,Consumer,2022270,682520
2021,Paraguay,FUR-CH-4683,Furniture,Chairs,"Hon Rocking Chair, Red",Consumer,130620,10440
2021,Peru,OFF-EN-4433,Office Supplies,Envelopes,"GlobeWeis Business Envelopes, Set of 50",Consumer,7400,-12920
2021,Philippines,OFF-AR-4332,Office Supplies,Art,Fluorescent Highlighters by Dixon,Consumer,12740,2230
2021,Poland,OFF-LA-6056,Office Supplies,Labels,"Smead Round Labels, Laser Printer Compatible",Consumer,13800,4920
2021,Portugal,OFF-BI-3248,Office Supplies,Binders,"Avery Binder Covers, Economy",Corporate,29890,10270
2021,Qatar,OFF-ST-6230,Office Supplies,Storage,"Tenex Box, Single Width",Corporate,77140,36120
2021,Republic of the Congo,FUR-CH-4544,Furniture,Chairs,"Harbour Creations Rocking Chair, Adjustable",Corporate,327580,-76340
2021,Romania,OFF-LA-4660,Office Supplies,Labels,"Hon File Folder Labels, Laser Printer Compatible",Consumer,34560,4080
2021,Russia,OFF-ST-5754,Office Supplies,Storage,SAFCO Boltless Steel Shelving,Consumer,454560,-107960
2021,Rwanda,OFF-EN-4433,Office Supplies,Envelopes,"GlobeWeis Business Envelopes, Set of 50",Consumer,10400,-14920
2021,Saudi Arabia,OFF-BI-3308,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,Corporate,28850,-21160
2021,Senegal,OFF-BI-6379,Office Supplies,Binders,"Wilson Jones Binder, Durable",Consumer,58080,2280
2021,Sierra Leone,OFF-FA-6194,Office Supplies,Fasteners,"Stockwell Push Pins, Assorted Sizes",Consumer,18290,-3070
2021,Singapore,OFF-EN-5040,Office Supplies,Envelopes,"Kraft Manila Envelope, with clear poly window",Consumer,30030,14700
2021,Slovakia,OFF-SU-2987,Office Supplies,Supplies,"Acme Ruler, Steel",Consumer,16110,4830
2021,Slovenia,OFF-LA-4679,Office Supplies,Labels,"Hon Removable Labels, Adjustable",Home Office,21300,1020
2021,Somalia,OFF-SU-4315,Office Supplies,Supplies,"Fiskars Scissors, Easy Grip",Corporate,49560,14340
2021,South Africa,OFF-ST-4295,Office Supplies,Storage,"Fellowes Trays, Single Width",Corporate,137810,22970
2021,South Korea,OFF-EN-5040,Office Supplies,Envelopes,"Kraft Manila Envelope, with clear poly window",Consumer,34030,18700
2021,South Sudan,OFF-EN-3107,Office Supplies,Envelopes,"Ames Manila Envelope, with clear poly window",Home Office,169380,72720
2021,Spain,OFF-LA-3263,Office Supplies,Labels,"Avery Color Coded Labels, Laser Printer Compatible",Consumer,39870,8730
2021,Sri Lanka,FUR-CH-5408,Furniture,Chairs,"Novimex Steel Folding Chair, Red",Consumer,148010,54230
2021,Sudan,OFF-BI-4826,Office Supplies,Binders,"Ibico Hole Reinforcements, Recycled",Corporate,51450,15750
2021,Swaziland,OFF-BI-3186,Office Supplies,Binders,"Avery 3-Hole Punch, Clear",Corporate,54660,6000
2021,Sweden,TEC-MA-3788,Technology,Machines,Cisco CP-7937G Unified IP Conference Station Phone,Corporate,695700,-27830
2021,Switzerland,OFF-EN-5022,Office Supplies,Envelopes,"Kraft Business Envelopes, Recycled",Consumer,150720,10320
2021,Syria,OFF-AR-5166,Office Supplies,Art,Manco Dry-Lighter Erasable Highlighter,Consumer,9120,3100
2021,Taiwan,OFF-PA-4473,Office Supplies,Paper,"Green Bar Memo Slips, Recycled",Corporate,106220,25790
2021,Tajikistan,OFF-ST-4028,Office Supplies,Storage,"Eldon Box, Blue",Corporate,8210,-7030
2021,Tanzania,FUR-FU-3932,Furniture,Furnishings,"Deflect-O Door Stop, Black",Consumer,87900,21960
2021,Thailand,OFF-AR-5933,Office Supplies,Art,"Sanford Sketch Pad, Water Color",Corporate,129760,60960
2021,Togo,TEC-AC-3403,Technology,Accessories,"Belkin Router, Erganomic",Corporate,307870,-118070
2021,Trinidad and Tobago,OFF-PA-6456,Office Supplies,Paper,Xerox 1905,Consumer,38880,18660
2021,Tunisia,OFF-AR-5166,Office Supplies,Art,Manco Dry-Lighter Erasable Highlighter,Consumer,7120,2100
2021,Turkey,OFF-BI-5093,Office Supplies,Binders,Lock-Up Easel 'Spel-Binder',Corporate,159770,53920
2021,Turkmenistan,TEC-CO-4589,Technology,Copiers,"Hewlett Personal Copier, Laser",Home Office,288540,11520
2021,Uganda,OFF-AR-3457,Office Supplies,Art,"BIC Markers, Easy-Erase",Consumer,216270,28620
2021,Ukraine,OFF-BI-4826,Office Supplies,Binders,"Ibico Hole Reinforcements, Recycled",Home Office,58800,21120
2021,United Arab Emirates,TEC-AC-4151,Technology,Accessories,"Enermax Flash Drive, Bluetooth",Consumer,12460,-15800
2021,United Kingdom,TEC-MA-4192,Technology,Machines,"Epson Calculator, Wireless",Consumer,139230,68220
2021,United States,TEC-PH-5349,Technology,Phones,"Nokia Office Telephone, with Caller ID",Consumer,332160,-43140
